Epoch 140, batch 140, Loss: 0.7011327743530273, Accuracy: 0.5735294117647058
Epoch 141, batch 141, Loss: 0.3683216869831085, Accuracy: 0.8823529411764706
Epoch 142, batch 142, Loss: 0.6694539189338684, Accuracy: 0.7647058823529411
Epoch 143, batch 143, Loss: 0.5997630953788757, Accuracy: 0.75
Epoch 144, batch 144, Loss: 0.5932782292366028, Accuracy: 0.7352941176470588
Epoch 145, batch 145, Loss: 0.5323374271392822, Accuracy: 0.7941176470588235
Epoch 146, batch 146, Loss: 0.5698273181915283, Accuracy: 0.8088235294117647
Epoch 147, batch 147, Loss: 0.41851162910461426, Accuracy: 0.8235294117647058
Epoch 148, batch 148, Loss: 0.5370100736618042, Accuracy: 0.7352941176470588
Epoch 149, batch 149, Loss: 0.7323368787765503, Accuracy: 0.6029411764705882
Epoch 150, batch 150, Loss: 0.6588487029075623, Accuracy: 0.6470588235294118
Epoch 151, batch 151, Loss: 0.524253785610199, Accuracy: 0.7058823529411764
Epoch 152, batch 152, Loss: 0.6168698072433472, Accuracy: 0.7058823529411764
Epoch 153, batch 153, Loss: 0.49077191948890686, Accuracy: 0.7941176470588235
Epoch 154, batch 154, Loss: 0.5702383518218994, Accuracy: 0.75
Epoch 155, batch 155, Loss: 0.5534627437591553, Accuracy: 0.7205882352941176
Epoch 156, batch 156, Loss: 0.5922622680664062, Accuracy: 0.75
Epoch 157, batch 157, Loss: 0.5097343921661377, Accuracy: 0.8088235294117647
Epoch 158, batch 158, Loss: 0.6343786716461182, Accuracy: 0.7058823529411764
Epoch 159, batch 159, Loss: 0.5504541993141174, Accuracy: 0.7941176470588235
Epoch 160, batch 160, Loss: 0.620330810546875, Accuracy: 0.7205882352941176
Epoch 161, batch 161, Loss: 0.5238410830497742, Accuracy: 0.7647058823529411
Epoch 162, batch 162, Loss: 0.6388598680496216, Accuracy: 0.6911764705882353
Epoch 163, batch 163, Loss: 0.5840227007865906, Accuracy: 0.7058823529411764
