Loading dataset...

Epoch 137, batch 137, Loss: 0.5376753807067871, Accuracy: 0.6911764705882353
Epoch 138, batch 138, Loss: 0.6862937808036804, Accuracy: 0.6176470588235294
Epoch 139, batch 139, Loss: 0.5797901153564453, Accuracy: 0.6764705882352942

Epoch 140, batch 140, Loss: 0.7034656405448914, Accuracy: 0.6029411764705882
Epoch 141, batch 141, Loss: 0.42757299542427063, Accuracy: 0.8676470588235294
Epoch 142, batch 142, Loss: 0.6090386509895325, Accuracy: 0.7794117647058824
Epoch 143, batch 143, Loss: 0.48684462904930115, Accuracy: 0.75
Epoch 144, batch 144, Loss: 0.5658324360847473, Accuracy: 0.7794117647058824

Epoch 145, batch 145, Loss: 0.5125517845153809, Accuracy: 0.7647058823529411
Epoch 146, batch 146, Loss: 0.555030345916748, Accuracy: 0.7058823529411764
Epoch 147, batch 147, Loss: 0.3986569046974182, Accuracy: 0.8382352941176471
Epoch 148, batch 148, Loss: 0.5774954557418823, Accuracy: 0.7647058823529411
Epoch 149, batch 149, Loss: 0.6347866058349609, Accuracy: 0.6176470588235294

Epoch 150, batch 150, Loss: 0.6487860083580017, Accuracy: 0.6323529411764706
Epoch 151, batch 151, Loss: 0.5130329728126526, Accuracy: 0.8088235294117647
Epoch 152, batch 152, Loss: 0.6278734803199768, Accuracy: 0.6323529411764706
Epoch 153, batch 153, Loss: 0.5743799805641174, Accuracy: 0.8235294117647058
Epoch 154, batch 154, Loss: 0.5954810380935669, Accuracy: 0.7205882352941176

Epoch 155, batch 155, Loss: 0.5132980346679688, Accuracy: 0.7058823529411764
Epoch 156, batch 156, Loss: 0.5100148320198059, Accuracy: 0.8088235294117647
Epoch 157, batch 157, Loss: 0.505043089389801, Accuracy: 0.7647058823529411
Epoch 158, batch 158, Loss: 0.5788683295249939, Accuracy: 0.6911764705882353
Epoch 159, batch 159, Loss: 0.5289224982261658, Accuracy: 0.7941176470588235

Epoch 160, batch 160, Loss: 0.6680399775505066, Accuracy: 0.6764705882352942
Epoch 161, batch 161, Loss: 0.5029894113540649, Accuracy: 0.75
Epoch 162, batch 162, Loss: 0.6874573826789856, Accuracy: 0.7058823529411764
Epoch 163, batch 163, Loss: 0.6520780920982361, Accuracy: 0.7205882352941176
Epoch 164, batch 164, Loss: 0.524614155292511, Accuracy: 0.8235294117647058

Epoch 165, batch 165, Loss: 0.6264269948005676, Accuracy: 0.7352941176470588
Epoch 166, batch 166, Loss: 0.5329857468605042, Accuracy: 0.7794117647058824
Epoch 167, batch 167, Loss: 0.7317382097244263, Accuracy: 0.6323529411764706
Epoch 168, batch 168, Loss: 0.5720608830451965, Accuracy: 0.7647058823529411
Epoch 169, batch 169, Loss: 0.5510399341583252, Accuracy: 0.7058823529411764

Epoch 170, batch 170, Loss: 0.6092084050178528, Accuracy: 0.6470588235294118
Epoch 171, batch 171, Loss: 0.55208820104599, Accuracy: 0.7352941176470588
Epoch 172, batch 172, Loss: 0.722369372844696, Accuracy: 0.5294117647058824
Epoch 173, batch 173, Loss: 0.5679967999458313, Accuracy: 0.75
Epoch 174, batch 174, Loss: 0.6614905595779419, Accuracy: 0.5735294117647058

Epoch 175, batch 175, Loss: 0.5877629518508911, Accuracy: 0.7205882352941176
Epoch 176, batch 176, Loss: 0.6239295601844788, Accuracy: 0.6764705882352942
Epoch 177, batch 177, Loss: 0.6342465877532959, Accuracy: 0.6176470588235294
Epoch 178, batch 178, Loss: 0.501933753490448, Accuracy: 0.7647058823529411
Epoch 179, batch 179, Loss: 0.4514257609844208, Accuracy: 0.8088235294117647

Epoch 180, batch 180, Loss: 0.2820107936859131, Accuracy: 0.9558823529411764
Epoch 181, batch 181, Loss: 0.5473664402961731, Accuracy: 0.7794117647058824
Epoch 182, batch 182, Loss: 0.5958976149559021, Accuracy: 0.7205882352941176
Epoch 183, batch 183, Loss: 0.8754019737243652, Accuracy: 0.5588235294117647
Epoch 184, batch 184, Loss: 0.4677481949329376, Accuracy: 0.7794117647058824

Epoch 185, batch 185, Loss: 0.6813498139381409, Accuracy: 0.6323529411764706
Epoch 186, batch 186, Loss: 0.3217647075653076, Accuracy: 0.9411764705882353
Epoch 187, batch 187, Loss: 0.6860782504081726, Accuracy: 0.5147058823529411
Epoch 188, batch 188, Loss: 0.33009615540504456, Accuracy: 0.8970588235294118
Epoch 189, batch 189, Loss: 0.20879369974136353, Accuracy: 0.9852941176470588

Epoch 190, batch 190, Loss: 0.5592063069343567, Accuracy: 0.8235294117647058
Epoch 191, batch 191, Loss: 0.6079683899879456, Accuracy: 0.6911764705882353
Epoch 192, batch 192, Loss: 0.6280409097671509, Accuracy: 0.6617647058823529
Epoch 193, batch 193, Loss: 0.6227536201477051, Accuracy: 0.6911764705882353
Epoch 194, batch 194, Loss: 0.7766938805580139, Accuracy: 0.6176470588235294

Epoch 195, batch 195, Loss: 0.6170387268066406, Accuracy: 0.6470588235294118
Epoch 196, batch 196, Loss: 0.6058261394500732, Accuracy: 0.6617647058823529
Epoch 197, batch 197, Loss: 0.9673101902008057, Accuracy: 0.39705882352941174
