Loading dataset...

Epoch 133, batch 133, Loss: 0.9410790801048279, Accuracy: 0.6764705882352942
Epoch 134, batch 134, Loss: 0.5566166043281555, Accuracy: 0.7205882352941176

Epoch 135, batch 135, Loss: 0.5541355609893799, Accuracy: 0.7058823529411764
Epoch 136, batch 136, Loss: 0.5674804449081421, Accuracy: 0.7352941176470588
Epoch 137, batch 137, Loss: 0.6358740925788879, Accuracy: 0.6764705882352942
Epoch 138, batch 138, Loss: 0.6340406537055969, Accuracy: 0.6176470588235294
Epoch 139, batch 139, Loss: 0.6175292730331421, Accuracy: 0.6176470588235294

Epoch 140, batch 140, Loss: 0.7507901191711426, Accuracy: 0.6323529411764706
Epoch 141, batch 141, Loss: 0.43466609716415405, Accuracy: 0.8529411764705882
Epoch 142, batch 142, Loss: 0.6549809575080872, Accuracy: 0.8088235294117647
Epoch 143, batch 143, Loss: 0.675570011138916, Accuracy: 0.7794117647058824
Epoch 144, batch 144, Loss: 0.5366402268409729, Accuracy: 0.7647058823529411

Epoch 145, batch 145, Loss: 0.4728173613548279, Accuracy: 0.8235294117647058
Epoch 146, batch 146, Loss: 0.5704402327537537, Accuracy: 0.7794117647058824
Epoch 147, batch 147, Loss: 0.41879481077194214, Accuracy: 0.8235294117647058
Epoch 148, batch 148, Loss: 0.5606501698493958, Accuracy: 0.6911764705882353
Epoch 149, batch 149, Loss: 0.6377148628234863, Accuracy: 0.6176470588235294

Epoch 150, batch 150, Loss: 0.6055772304534912, Accuracy: 0.6764705882352942
Epoch 151, batch 151, Loss: 0.5236384868621826, Accuracy: 0.7794117647058824
Epoch 152, batch 152, Loss: 0.5924407243728638, Accuracy: 0.75
Epoch 153, batch 153, Loss: 0.5409296751022339, Accuracy: 0.7941176470588235
Epoch 154, batch 154, Loss: 0.5855275392532349, Accuracy: 0.7058823529411764

Epoch 155, batch 155, Loss: 0.5100483298301697, Accuracy: 0.7205882352941176
Epoch 156, batch 156, Loss: 0.5428464412689209, Accuracy: 0.8235294117647058
Epoch 157, batch 157, Loss: 0.5250433087348938, Accuracy: 0.8235294117647058
Epoch 158, batch 158, Loss: 0.5776665806770325, Accuracy: 0.7352941176470588
Epoch 159, batch 159, Loss: 0.518736720085144, Accuracy: 0.8088235294117647

Epoch 160, batch 160, Loss: 0.6095252633094788, Accuracy: 0.6911764705882353
Epoch 161, batch 161, Loss: 0.5414152145385742, Accuracy: 0.7205882352941176
Epoch 162, batch 162, Loss: 0.6416531801223755, Accuracy: 0.6764705882352942
