Streaming output truncated to the last 5000 lines.
Epoch 121, Loss: 0.6675972938537598, Accuracy: 0.7205882352941176
Epoch 122, Loss: 0.6365285515785217, Accuracy: 0.6617647058823529
Epoch 123, Loss: 0.6720151305198669, Accuracy: 0.6470588235294118
Epoch 124, Loss: 0.6511614322662354, Accuracy: 0.5882352941176471
Epoch 125, Loss: 0.3860395848751068, Accuracy: 0.8970588235294118
Epoch 126, Loss: 0.6983289122581482, Accuracy: 0.4852941176470588
Epoch 127, Loss: 0.5311529040336609, Accuracy: 0.7058823529411764
Epoch 128, Loss: 0.813454270362854, Accuracy: 0.4411764705882353
Epoch 129, Loss: 0.5415894389152527, Accuracy: 0.7058823529411764
Epoch 130, Loss: 0.6799716949462891, Accuracy: 0.5588235294117647
Epoch 131, Loss: 0.5276461243629456, Accuracy: 0.7647058823529411
Epoch 132, Loss: 0.6022127866744995, Accuracy: 0.7352941176470588
Epoch 133, Loss: 0.6792120933532715, Accuracy: 0.5882352941176471
Epoch 134, Loss: 0.8843069672584534, Accuracy: 0.39705882352941174
Epoch 135, Loss: 0.7086321115493774, Accuracy: 0.5294117647058824
Epoch 136, Loss: 0.8174307346343994, Accuracy: 0.47058823529411764
Epoch 137, Loss: 0.5422471761703491, Accuracy: 0.8235294117647058
Epoch 138, Loss: 0.47358158230781555, Accuracy: 0.8088235294117647
Epoch 139, Loss: 0.7333562970161438, Accuracy: 0.47058823529411764
Epoch 140, Loss: 0.4005921185016632, Accuracy: 0.9264705882352942
Epoch 141, Loss: 0.42314544320106506, Accuracy: 0.8529411764705882
Epoch 142, Loss: 0.6674056649208069, Accuracy: 0.6470588235294118
Epoch 143, Loss: 0.4826696515083313, Accuracy: 0.7941176470588235
Epoch 144, Loss: 0.7218457460403442, Accuracy: 0.5882352941176471
Epoch 145, Loss: 0.5635805130004883, Accuracy: 0.7205882352941176
Epoch 146, Loss: 0.665734052658081, Accuracy: 0.6764705882352942
Epoch 147, Loss: 0.4884827136993408, Accuracy: 0.7794117647058824
Epoch 148, Loss: 0.5476730465888977, Accuracy: 0.7352941176470588
Epoch 149, Loss: 0.6229291558265686, Accuracy: 0.6470588235294118
Epoch 150, Loss: 0.6560633778572083, Accuracy: 0.6764705882352942
Epoch 151, Loss: 0.4530733823776245, Accuracy: 0.8088235294117647
Epoch 152, Loss: 0.7500730752944946, Accuracy: 0.4117647058823529
Epoch 153, Loss: 0.564659595489502, Accuracy: 0.7352941176470588
Epoch 154, Loss: 0.6588419675827026, Accuracy: 0.5882352941176471
Epoch 155, Loss: 0.615935206413269, Accuracy: 0.6323529411764706
Epoch 156, Loss: 0.5199164152145386, Accuracy: 0.7647058823529411
Epoch 157, Loss: 0.743308424949646, Accuracy: 0.5
Epoch 158, Loss: 0.4407989978790283, Accuracy: 0.8529411764705882
Epoch 159, Loss: 0.5257452726364136, Accuracy: 0.7941176470588235
Epoch 160, Loss: 0.5848053693771362, Accuracy: 0.7205882352941176
Epoch 161, Loss: 0.5833221077919006, Accuracy: 0.7205882352941176
Epoch 162, Loss: 0.5252270102500916, Accuracy: 0.7205882352941176
Epoch 163, Loss: 0.63912034034729, Accuracy: 0.6470588235294118
Epoch 164, Loss: 0.6074411273002625, Accuracy: 0.7205882352941176
Epoch 165, Loss: 0.6526728868484497, Accuracy: 0.6323529411764706
Epoch 166, Loss: 0.6234267950057983, Accuracy: 0.7205882352941176
Epoch 167, Loss: 0.6363080739974976, Accuracy: 0.6176470588235294
Epoch 168, Loss: 0.1776031255722046, Accuracy: 0.9558823529411764
Epoch 169, Loss: 0.620132565498352, Accuracy: 0.7941176470588235
Epoch 170, Loss: 0.3985690474510193, Accuracy: 0.8676470588235294
Epoch 171, Loss: 0.6329588294029236, Accuracy: 0.6470588235294118
Epoch 172, Loss: 0.722562849521637, Accuracy: 0.5588235294117647
Epoch 173, Loss: 0.6387736201286316, Accuracy: 0.5882352941176471
Epoch 174, Loss: 0.6084917187690735, Accuracy: 0.7058823529411764
Epoch 175, Loss: 0.7273988127708435, Accuracy: 0.47058823529411764
Epoch 176, Loss: 0.4171777069568634, Accuracy: 0.8676470588235294
Epoch 177, Loss: 0.7372117042541504, Accuracy: 0.45588235294117646
Epoch 178, Loss: 0.5526604652404785, Accuracy: 0.7794117647058824
Epoch 179, Loss: 0.670428991317749, Accuracy: 0.5735294117647058
Epoch 180, Loss: 0.6048787236213684, Accuracy: 0.6764705882352942
Epoch 181, Loss: 0.5346089601516724, Accuracy: 0.75
Epoch 182, Loss: 0.7345580458641052, Accuracy: 0.4264705882352941
Epoch 183, Loss: 0.9016741514205933, Accuracy: 0.5147058823529411
Epoch 184, Loss: 0.6580612063407898, Accuracy: 0.6470588235294118
Epoch 185, Loss: 0.9803541898727417, Accuracy: 0.6323529411764706
Epoch 186, Loss: 0.5607542395591736, Accuracy: 0.7352941176470588
Epoch 187, Loss: 0.4695402681827545, Accuracy: 0.8088235294117647
Epoch 188, Loss: 0.709536075592041, Accuracy: 0.4852941176470588
Epoch 189, Loss: 0.6571435332298279, Accuracy: 0.6029411764705882
Epoch 190, Loss: 0.6284956336021423, Accuracy: 0.6470588235294118
Epoch 191, Loss: 1.0397731065750122, Accuracy: 0.3676470588235294
Epoch 192, Loss: 0.5915782451629639, Accuracy: 0.6911764705882353
Epoch 193, Loss: 0.5880916714668274, Accuracy: 0.7058823529411764
Epoch 194, Loss: 0.5981935262680054, Accuracy: 0.7205882352941176
Epoch 195, Loss: 0.5797572135925293, Accuracy: 0.75
Epoch 196, Loss: 0.6640425324440002, Accuracy: 0.6176470588235294
Epoch 197, Loss: 0.4694913923740387, Accuracy: 0.8529411764705882
Epoch 198, Loss: 0.7000571489334106, Accuracy: 0.5735294117647058
Epoch 199, Loss: 0.7085294127464294, Accuracy: 0.5588235294117647
Epoch 200, Loss: 0.6450200080871582, Accuracy: 0.6764705882352942
Epoch 201, Loss: 0.6998819708824158, Accuracy: 0.5441176470588235
Epoch 202, Loss: 0.5747218132019043, Accuracy: 0.7058823529411764
Epoch 203, Loss: 0.6337862014770508, Accuracy: 0.6470588235294118
Epoch 204, Loss: 0.552212655544281, Accuracy: 0.7352941176470588
Epoch 205, Loss: 0.6543905735015869, Accuracy: 0.6617647058823529
Epoch 206, Loss: 0.42694583535194397, Accuracy: 0.9117647058823529
Epoch 207, Loss: 0.49688535928726196, Accuracy: 0.9117647058823529
Epoch 208, Loss: 0.6916144490242004, Accuracy: 0.5735294117647058
Epoch 209, Loss: 0.4787023067474365, Accuracy: 0.7941176470588235
Epoch 210, Loss: 0.5066399574279785, Accuracy: 0.8382352941176471
Epoch 211, Loss: 0.6109118461608887, Accuracy: 0.7205882352941176
Epoch 212, Loss: 0.30396583676338196, Accuracy: 0.9411764705882353
Epoch 213, Loss: 0.6866942644119263, Accuracy: 0.6911764705882353
Epoch 214, Loss: 0.5924385786056519, Accuracy: 0.6911764705882353
Epoch 215, Loss: 0.5831602215766907, Accuracy: 0.8088235294117647
Epoch 216, Loss: 0.5758589506149292, Accuracy: 0.6911764705882353
Epoch 217, Loss: 0.5971917510032654, Accuracy: 0.6911764705882353
Epoch 218, Loss: 0.5095734000205994, Accuracy: 0.7941176470588235
Epoch 219, Loss: 0.5507127046585083, Accuracy: 0.75
Epoch 220, Loss: 0.32815247774124146, Accuracy: 0.8823529411764706
Epoch 221, Loss: 0.6094710230827332, Accuracy: 0.6617647058823529
Epoch 222, Loss: 0.6804782748222351, Accuracy: 0.6176470588235294
Epoch 223, Loss: 0.540704607963562, Accuracy: 0.7352941176470588
Epoch 224, Loss: 0.6211830973625183, Accuracy: 0.6617647058823529
Epoch 225, Loss: 0.6071401238441467, Accuracy: 0.7647058823529411
Epoch 226, Loss: 0.5503025650978088, Accuracy: 0.7205882352941176
Epoch 227, Loss: 0.6378852725028992, Accuracy: 0.6470588235294118
Epoch 228, Loss: 0.4990803897380829, Accuracy: 0.7352941176470588
Epoch 229, Loss: 0.5906018018722534, Accuracy: 0.7058823529411764
Epoch 230, Loss: 0.6119927167892456, Accuracy: 0.6911764705882353
Epoch 231, Loss: 0.5545251369476318, Accuracy: 0.7205882352941176
Epoch 232, Loss: 0.8490012288093567, Accuracy: 0.4264705882352941
Epoch 233, Loss: 0.1941390186548233, Accuracy: 0.9705882352941176
Epoch 234, Loss: 0.7153778076171875, Accuracy: 0.5294117647058824
Epoch 235, Loss: 0.607524573802948, Accuracy: 0.6911764705882353
Epoch 236, Loss: 0.6235740780830383, Accuracy: 0.6617647058823529
Epoch 237, Loss: 0.5549476742744446, Accuracy: 0.7352941176470588
Epoch 238, Loss: 0.5524404644966125, Accuracy: 0.6764705882352942
Epoch 239, Loss: 0.5927543640136719, Accuracy: 0.6323529411764706
Epoch 240, Loss: 0.5672231316566467, Accuracy: 0.75
Epoch 241, Loss: 0.6244624257087708, Accuracy: 0.5882352941176471
Epoch 242, Loss: 0.5012796521186829, Accuracy: 0.7941176470588235
Epoch 243, Loss: 0.6326731443405151, Accuracy: 0.6617647058823529
Epoch 244, Loss: 0.6214429140090942, Accuracy: 0.6323529411764706
Epoch 245, Loss: 0.45462465286254883, Accuracy: 0.8088235294117647
Epoch 246, Loss: 0.5412136912345886, Accuracy: 0.7647058823529411
Epoch 247, Loss: 0.6580135822296143, Accuracy: 0.6764705882352942
Epoch 248, Loss: 0.6198979616165161, Accuracy: 0.6176470588235294
Epoch 249, Loss: 0.5797548890113831, Accuracy: 0.6176470588235294
Epoch 250, Loss: 0.49220168590545654, Accuracy: 0.8235294117647058
Epoch 251, Loss: 0.4759232997894287, Accuracy: 0.8235294117647058
Epoch 252, Loss: 0.6250296235084534, Accuracy: 0.5882352941176471
Epoch 253, Loss: 0.40074336528778076, Accuracy: 0.8382352941176471
Epoch 254, Loss: 0.5844557881355286, Accuracy: 0.6470588235294118
Epoch 255, Loss: 0.47065219283103943, Accuracy: 0.8088235294117647
Epoch 256, Loss: 0.6755444407463074, Accuracy: 0.5441176470588235
Epoch 257, Loss: 0.6626825928688049, Accuracy: 0.5441176470588235
Epoch 258, Loss: 0.39697298407554626, Accuracy: 0.8676470588235294
Epoch 259, Loss: 0.603379487991333, Accuracy: 0.6911764705882353
Epoch 260, Loss: 0.5688217878341675, Accuracy: 0.6911764705882353
Epoch 261, Loss: 0.5355393886566162, Accuracy: 0.7647058823529411
Epoch 262, Loss: 0.6760523319244385, Accuracy: 0.6029411764705882
Epoch 263, Loss: 0.5052217245101929, Accuracy: 0.7941176470588235
Epoch 264, Loss: 0.48034369945526123, Accuracy: 0.8823529411764706
Epoch 265, Loss: 0.6396316289901733, Accuracy: 0.6764705882352942
Epoch 266, Loss: 0.5608907341957092, Accuracy: 0.6911764705882353
Epoch 267, Loss: 0.8982360363006592, Accuracy: 0.4117647058823529
Epoch 268, Loss: 0.691655695438385, Accuracy: 0.5147058823529411
Epoch 269, Loss: 0.7003754377365112, Accuracy: 0.5
Epoch 270, Loss: 0.5100337862968445, Accuracy: 0.7941176470588235
Epoch 271, Loss: 0.5617680549621582, Accuracy: 0.7058823529411764
Epoch 272, Loss: 0.514829695224762, Accuracy: 0.7794117647058824
Epoch 273, Loss: 0.6838377714157104, Accuracy: 0.5147058823529411
Epoch 274, Loss: 0.5472398996353149, Accuracy: 0.7058823529411764
Epoch 275, Loss: 0.7254396677017212, Accuracy: 0.5441176470588235
Epoch 276, Loss: 0.4064044654369354, Accuracy: 0.8529411764705882
Epoch 277, Loss: 0.4065139591693878, Accuracy: 0.8382352941176471
Epoch 278, Loss: 0.8304237127304077, Accuracy: 0.5294117647058824
Epoch 279, Loss: 0.28582310676574707, Accuracy: 0.9411764705882353
Epoch 280, Loss: 0.5327013731002808, Accuracy: 0.75
Epoch 281, Loss: 0.4685212969779968, Accuracy: 0.8088235294117647
Epoch 282, Loss: 0.3437809646129608, Accuracy: 0.9117647058823529
Epoch 283, Loss: 0.5573617219924927, Accuracy: 0.8088235294117647
Epoch 284, Loss: 0.6167449355125427, Accuracy: 0.7647058823529411
Epoch 285, Loss: 0.9106156826019287, Accuracy: 0.6764705882352942
Epoch 286, Loss: 0.32461220026016235, Accuracy: 0.9117647058823529
Epoch 287, Loss: 0.6148436069488525, Accuracy: 0.6470588235294118
Epoch 288, Loss: 0.6289341449737549, Accuracy: 0.7058823529411764
Epoch 289, Loss: 0.5675052404403687, Accuracy: 0.7647058823529411
Epoch 290, Loss: 0.5481359362602234, Accuracy: 0.8088235294117647
Epoch 291, Loss: 0.39452746510505676, Accuracy: 0.8529411764705882
